Description,Data.Sugar Total,Data.Water,Data.Vitamins.Vitamin K
"BABYFOOD,MEAT,PORK,STR",0,78.4,0
"BABYFOOD,MEAT,HAM,STR",0,80.5,0
"BABYFOOD,MEAT,HAM,JUNIOR",0,80.5,0
"BABYFOOD,MEAT,LAMB,STR",0,81.06,0.6
"BABYFOOD,MEAT,LAMB,JUNIOR",0,79.6,0
"BABYFOOD,MEAT,CHICK,STR",0,77.5,1
"BABYFOOD,MEAT,CHICK,JR",0,76,1.7
"BABYFOOD,MEAT,CHICK STKS,JR",1.399999976,68.3,0.4
"BABYFOOD,MEAT,TURKEY,STR",0,80.32,0
"BABYFOOD,MEAT,TURKEY,JR",0,80.32,0
"BABYFOOD,MEAT,TURKEY STKS,JR",1.399999976,69.8,0.4
"BABYFOOD,MEAT,MEAT STKS,JR",0.800000012,69.5,0.5
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR",0,88.9,0
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR",0,88.6,0
"BABYFOOD,DINNER,BF LASAGNA,TODD",0,82.3,0
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR",2.089999914,86.34,29.3
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR",2.430000067,86.7,6.7
"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU",0.589999974,76.5,9.4
"BABYFOOD,DINNER,BF NOODLE,STR",1.419999957,86.84,1.6
"BABYFOOD,MACARONI&CHS,TODD",0.790000021,81.7,0
"BABYFOOD,DINNER,BF&RICE,TODD",0,81.9,0
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR",2.720000029,84.17,0.8
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD",0,81.6,0
"BABYFOOD,DINNER,BF STEW,TODD",1.389999986,86.9,2.5
"BABYFOOD,DINNER,VEG&BF,STR",2.339999914,84.94,5.2
"BABYFOOD,DINNER,VEG&BF,JR",2.339999914,84.94,5.2
"BABYFOOD,DINNER,BF W/VEG",2.160000086,84.3,11.6
"BABYFOOD,DINNER,VEG&BACON,STR",1.769999981,85.75,9.1
"BABYFOOD,DINNER,VEG&HAM,STR",1.370000005,87.47,2.7
"BABYFOOD,DINNER,VEG&HAM,JR",0.99000001,87,2.7
"BABYFOOD,DINNER,VEG&LAMB,STR",0.939999998,88.6,2.3
"BABYFOOD,DINNER,VEG&LAMB,JR",0.939999998,88.6,0
"BABYFOOD,DINNER,CHICK NOODLE,STR",2.5,85.64,1.9
"BABYFOOD,DINNER,CHICK NOODLE,JR",1.070000052,87.25,1.6
"BABYFOOD,DINNER,CHICK SOUP,STR",1.720000029,89.1,6.9
"BABYFOOD,DINNER,CHICK STEW,TODD",1.679999948,83.3,3.7
"BABYFOOD,DINNER,VEG CHICK,STR",1.580000043,86.9,3.4
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR",0,87.2,0
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR",0,86.2,0
"BABYFOOD,DINNER,PASTA W/VEG",1.200000048,87.3,2.1
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR",0,90.3,0
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR",0,88.7,0
"BABYFOOD,DINNER,TURKEY&RICE,STR",1.659999967,88.22,1.5
"BABYFOOD,DINNER,TURKEY&RICE,JR",1.25,86.64,3
"BABYFOOD,DINNER,VEG&TURKEY,STR",1.539999962,88.82,3.9
"BABYFOOD,DINNER,VEG&TURKEY,JR",1.360000014,88.5,4.8
"BABYFOOD,DINNER,VEG&TURKEY,TODD",0,82.3,0
"BABYFOOD,DINNER,MACARONI&CHS,STR",1.269999981,85.25,0.2
"BABYFOOD,DINNER,MACARONI&CHS,JR",1.320000052,86.5,0.2
"BABYFOOD,VEG,GRN BNS,STR",1.879999995,91.85,42.4
"BABYFOOD,VEG,GRN BNS,JR",1.080000043,92.5,11.1
"BABYFOOD,GRN BNS,DICES,TODD",1.059999943,92.6,11
"BABYFOOD,VEG,GRN BNS&POTATOES",2.349999905,86.2,1.4
"BABYFOOD,VEG,BEETS,STR",6.090000153,90.1,0.2
"BABYFOOD,VEG,CARROTS,STR",3.640000105,92.3,14.4
"BABYFOOD,VEG,CARROTS,JR",3.160000086,91,12.5
"Babyfood, vegetables, squash, strained",3.369999886,92.66,4.7
"BABYFOOD,VEG,SQUASH,JR",3.24000001,92.66,4.7
"BABYFOOD,VEG,SWT POTATOES,STR",4.050000191,84.8,1.4
"BABYFOOD,VEG,SWT POTATOES,JR",4.239999771,84.1,1.5
"BABYFOOD,POTATOES,TODDLER",0.910000026,86.8,0.2
"BABYFOOD,VEG,BUTTERNUT SQUASH&CORN",2.930000067,87.3,2.4
"BABYFOOD,APPLS,DICES,TODD",10.82999992,87.5,0.6
"BABYFOOD,FRUIT,APPLSAUC,STR",9.869999886,88.6,0.5
"BABYFOOD,FRUIT,APPLSAUC,JR",8.479999542,89.5,0.3
"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR",1.409999967,83.1,0.4
"BABYFOOD,VEG,CORN,CRMD,STR",1.230000019,83.6,0
"BABYFOOD,VEG,CORN,CRMD,JR",1.480000019,81.4,0
"BABYFOOD,VEG,PEAS,STR",2.00999999,87.52,15.5
"BABYFOOD,PEAS,DICES,TODD",4.130000114,84.6,18
"BABYFOOD,VEG,SPINACH,CRMD,STR",2.329999924,89.6,196.7
"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR",1.399999976,82.1,0.4
"BABYFOOD,FRUIT,BANANAS W/TAPIOCA,STR",0.379999995,84,0
"BABYFOOD,FRUIT,PEACHES,STR",11.5,83.65,6.6
"BABYFOOD,FRUIT,PEACHES,JR",11.5,83.65,6.6
"BABYFOOD,FRUIT,PEARS,STR",6.980000019,88.4,3.2
"BABYFOOD,FRUIT,PEARS,JR",7.340000153,87.8,3.4
"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR",13.34000015,80,3.5
"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR",13.64000034,79.2,3.4
"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR",10.97000027,80.3,15.6
"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR",10.97000027,80.1,15.8
"BABYFOOD,PRUNES,WO/VIT C,STR",21.20999908,74.3,22.1
"BABYFOOD,FRUIT DSSRT,MANGO W/ TAPIOCA",13,80,2.5
"BABYFOOD,PEARS,DICES,TODD",8.659999847,85.6,4
"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,STR",9.25,87.7,1
"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR",8.720000267,86.9,0.5
"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR",10.81000042,85.63,2
"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,JR",10.60999966,85.6,1.2
"BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR",4.349999905,83.14,0.3
"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,STR",0,89.5,0
"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,JR",0,89.1,0
"BABYFOOD,FRUIT,APPL & RASPBERRY,STR",12.96000004,83.8,0.8
"BABYFOOD,FRUIT,APPL & RASPBERRY,JR",12.96000004,84,0.8
"BABYFOOD,FRUIT & VEG,APPL & SWT POTATO",11.60000038,84,0.8
"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR",8.409999847,81.1,0.6
"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,STR",10.72999954,81.7,0.6
"BABYFOOD,FRUIT,PEARS&PNAPPL,STR",7.789999962,88.5,1.6
"BABYFOOD,FRUIT,PEARS&PNAPPL,JR",7.360000134,87.8,3
"BABYFOOD,FRUIT,GUAVA&PAPAYA W/TAPIOCA,STR",0,82.5,0
"BABYFOOD,PEACHES,DICES,TODD",9.489999771,87.4,2.9
"BABYFOOD,FRUIT,PAPAYA&APPLSAUC W/TAPIOCA,STR",0,80.6,0
"BABYFOOD,FRUIT,BANANAS W/APPLS&PEARS,STR",12.76000023,79,0.6
"BABYFOOD,FRUIT,APPL&BLUEBERRY,STR",13.93000031,83.1,3.5
"BABYFOOD,FRUIT,APPL&BLUEBERRY,JR",8.829999924,82.8,8.8
