year,address.city,address.state,business.name,industry.division,industry.major_group
2003,NILES,MI,National-Standard Company,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,Leakey,TX,Big Springs Ranch,"Agriculture, Forestry, And Fishing",Agriculture production livestock and animal specialties
2003,High Point,NC,Table Creations,Manufacturing,Furniture And Fixtures
2003,Sarita,TX,San Pedro Kenedy Ranch Co,"Agriculture, Forestry, And Fishing",Agriculture production livestock and animal specialties
2003,Texarkana,AR,Sterling Healthcare Services,Services,Health Services
2003,Phoenix,AZ,A P L LOGISTICS WAREHOUSE MGMT,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,Folcroft,PA,Safway Services Inc,Wholesale Trade,Wholesale Trade-durable Goods
2003,Orlando,FL,Lowes Home Centers Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,Tipton,IN,Millers Health Systems Inc,Services,Health Services
2003,Salem,OH,Nutting Newspapers Inc,Manufacturing,"Printing, Publishing, And Allied Industries"
2003,IRVING,TX,Acosta Sales Co Inc,Wholesale Trade,Wholesale Trade-non-durable Goods
2003,Olathe,KS,Lowes Home Centers Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,Lake Charles,LA,Lowes Home Centers Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,CLAXTON,GA,TAYLOR & BIRD INC,Services,Health Services
2003,BANGOR,ME,Dean Northeast LLC,Manufacturing,Food And Kindred Products
2003,Memphis,TN,M L G Logistics & Warehouse,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,MINDEN,NE,KEARNEY COUNTY HEALTH SVCS,Services,Health Services
2003,Cranford,NJ,T W P Inc,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,Brockton,MA,Home Depot USA Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,Livonia,MI,Tecstar LLC,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,Auburn,NY,Vitale Sales Inc,Wholesale Trade,Wholesale Trade-durable Goods
